NU_SEQUENCIAL;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO
2353878;SP;;;1;1;1;1;526.3;468.8;545.1;624.3;1;760
1732800;MA;;;1;1;1;1;477.5;427.4;530.6;413.3;1;720
3583181;RN;;;0;0;0;0;;;;;;
2726921;PA;;;1;1;1;1;576.6;528.5;570.5;671.1;1;740
140606;PE;2;1;1;1;1;1;472.5;577;561.9;476.4;1;560
1237346;MA;;;1;1;1;1;422.1;445.5;499.8;573.7;1;880
2572855;RJ;;;1;1;1;1;506.9;390.6;519.5;459.2;1;680
873908;RS;;;0;0;0;0;;;;;;
863972;RS;2;1;1;1;1;1;443.5;461.8;448.5;454.6;1;580
264854;PE;;;1;1;1;1;464.4;410;490.6;443.4;1;340
3569499;MS;;;1;1;1;1;594.7;572.1;557.3;675.7;1;460
1979068;MG;;;0;0;0;0;;;;;;
1321591;SP;2;1;1;1;1;1;416.3;519.1;551.6;523.5;1;640
643680;ES;;;1;1;1;1;399.2;537.6;496.1;499.4;1;400
3402494;PR;;;1;1;1;1;585.5;500.6;543.8;560.8;1;540
2292062;ES;;;1;1;1;1;461.2;544.6;531.5;625.7;1;880
1198537;BA;;;1;1;1;1;577;605.8;596.1;641.5;1;840
3864112;RN;;;1;1;1;1;589.7;677.8;643.4;614.8;1;660
2794096;SP;2;1;1;1;1;1;427.8;603;608.2;687.1;1;920
2164879;PA;;;0;0;0;0;;;;;;
3749862;RS;;;0;0;0;0;;;;;;
3039025;SP;4;1;1;1;1;1;395.2;539.8;576.4;557;1;900
4121577;MG;;;1;1;1;1;483;433.3;517.1;451.2;1;880
2294296;MT;2;1;1;1;1;1;427;419.1;377.8;471.8;1;460
1687370;RS;2;1;1;1;1;1;513.4;500;542.9;556.4;1;540
2082258;MA;;;0;0;0;0;;;;;;
3455636;DF;;;1;1;1;1;457.8;416.1;507.2;424.5;1;660
1567374;PE;2;1;0;0;0;0;;;;;;
1601577;SP;4;1;0;0;0;0;;;;;;
1954466;RN;;;1;1;1;1;508.9;497;564.9;506.9;1;700
3076935;RS;;;0;0;0;0;;;;;;
1628906;RJ;;;1;1;1;1;495.4;539.8;566.5;436.7;1;440
2460154;AM;;;0;0;0;0;;;;;;
4031083;RS;2;1;1;1;1;1;543.4;561.7;563.7;690.6;1;660
1789676;MA;;;0;0;0;0;;;;;;
3074711;SP;2;2;1;1;1;1;382.3;460.1;450.4;389.6;1;440
2163684;PA;;;0;0;0;0;;;;;;
308139;BA;;;0;0;0;0;;;;;;
1061901;CE;2;1;1;1;1;1;490.9;524.1;536.8;592.8;1;740
2154163;RN;;;1;1;1;1;396.6;516;482.9;547.1;1;580
185342;CE;2;1;1;1;1;1;409;293;461.8;533.5;1;840
1258878;SC;2;1;1;1;1;1;424;431.5;460.8;469.1;1;560
2524968;BA;;;1;1;1;1;444.4;502.8;524.6;505.8;1;440
2460599;MG;2;1;1;1;1;1;413.1;493.3;537.6;401.1;1;300
3778974;SP;;;0;0;0;0;;;;;;
2075965;PR;;;1;1;1;1;404.7;502.9;512.3;483.8;1;660
349664;DF;;;1;1;1;1;462.8;318.9;516.6;441.1;1;620
405358;PA;2;1;1;1;1;1;562.5;533.7;567.2;496.5;1;520
1142700;SE;;;1;1;1;1;521.4;465.7;524.8;386.2;1;480
3497450;SE;;;1;1;1;1;432.5;438;487.6;422;1;540
2501303;AC;;;1;1;1;1;372.5;452.9;405;457.3;1;560
1039424;TO;2;2;1;1;1;1;395.7;413.9;339.2;439.6;6;0
3294184;RN;;;1;2;2;1;490.3;;;489.8;;
573711;CE;2;1;1;1;1;1;597.4;608.3;595.5;712.7;1;880
3132811;BA;;;1;1;1;1;592.5;568.5;571.3;629.3;1;680
2840444;SP;2;1;1;1;1;1;491.6;433.2;531.4;379.7;1;500
1166692;PB;2;1;1;1;1;1;431.2;488.2;454.2;398.6;1;420
813352;AM;2;1;1;1;1;1;397.9;491.9;515.1;411.4;1;340
400311;MA;;;0;0;0;0;;;;;;
3723997;PR;;;1;1;1;1;524.8;545;572;482;1;760
3122838;MG;;;1;1;1;1;660.4;642.1;590.4;712.3;1;900
3266284;RS;;;1;1;1;1;531.1;508.3;543;563.4;1;580
2830060;SC;2;1;0;0;0;0;;;;;;
929535;SP;;;0;0;0;0;;;;;;
248629;MT;2;1;1;1;1;1;373.3;442.3;508.6;483.5;1;540
644244;GO;;;1;1;1;1;438.8;592.5;574.2;482.2;1;760
2984101;RO;;;1;1;1;1;423.2;400.6;463.1;431.7;1;600
2711648;RJ;;;1;1;1;1;414.3;407.5;476;740.2;1;760
1438100;SP;;;1;1;1;1;521.9;596.3;569;569.9;1;920
569979;PI;;;0;0;0;0;;;;;;
3837923;PI;;;1;1;1;1;450.8;463.1;535.9;468.8;1;440
252485;MS;;;1;1;1;1;674.5;705.3;661.7;750.9;1;960
2213346;CE;;;0;0;0;0;;;;;;
3786932;AC;;;1;1;1;1;440.5;526.3;548.6;429.6;1;540
1502185;MA;2;1;1;1;1;1;425.6;503.1;506.4;412;1;600
3802920;RJ;;;0;0;0;0;;;;;;
3478343;MA;;;1;1;1;1;515.7;472.8;523.4;584.7;1;720
3475387;CE;;;0;0;0;0;;;;;;
3542042;DF;2;2;1;1;1;1;442;418.7;474.2;419.1;1;460
4251316;RS;;;0;0;0;0;;;;;;
3718658;MG;;;1;1;1;1;447.2;556.3;566.9;636.8;1;620
699238;PR;2;1;1;1;1;1;477.9;500.1;524.3;669.5;1;760
491812;AL;2;1;0;0;0;0;;;;;;
3033034;MG;;;1;1;1;1;560.3;505.6;526.5;589.5;1;640
4304259;MG;;;0;0;0;0;;;;;;
3549271;MA;;;1;1;1;1;403.3;419.9;500.3;374.8;1;520
2453193;CE;;;1;1;1;1;504.3;635.5;594.6;693.4;1;740
4168087;PA;;;1;1;1;1;501.9;636.4;646.9;643.9;1;500
1611788;PA;;;1;1;1;1;435.7;371.2;444.9;459.1;1;460
72613;BA;;;1;1;1;1;350.2;433.6;427.1;438.2;1;400
4317030;RS;2;1;1;1;1;1;458.4;471.7;497.7;384.7;1;520
614043;SP;4;1;1;1;1;1;587.4;606.1;565.5;648.2;1;820
3589600;MG;;;0;0;0;0;;;;;;
120040;SP;4;1;1;1;1;1;505.8;569;567.5;488.7;1;660
2326440;DF;;;0;0;0;0;;;;;;
1689255;PR;;;1;1;1;1;474.3;525.9;553.2;542.7;1;720
3131289;RJ;;;0;0;0;0;;;;;;
1715494;BA;;;1;1;1;1;535.9;564.6;601;583.4;1;820
1524405;PE;4;1;1;1;1;1;623.9;663.9;614.4;767.8;1;840
3990001;SP;2;1;0;0;0;0;;;;;;
3143765;SC;;;1;1;1;1;491.6;530;615.1;659.9;1;700
1963964;PA;4;1;1;1;1;1;436;591.2;590.4;577.8;1;880
2375558;SP;;;1;1;1;1;395.7;458.7;535.4;388.1;1;440
733562;PE;2;1;1;1;1;1;527.8;555.8;513.6;581.2;1;700
47317;MA;2;1;0;0;0;0;;;;;;
997409;SP;;;1;1;1;1;513.9;560;552.1;482.3;1;840
2211155;PA;;;1;1;1;1;359.8;518.8;551.4;386.5;1;640
4118838;PI;;;1;1;1;1;379.9;488.5;434.9;413.4;1;580
3792689;BA;;;0;0;0;0;;;;;;
286307;CE;;;0;0;0;0;;;;;;
3298263;MA;;;0;0;0;0;;;;;;
220632;AC;;;1;1;1;1;477.5;550.6;585;503.2;1;600
3847597;GO;;;0;0;0;0;;;;;;
2848166;RJ;;;1;1;1;1;633.6;694.2;670.9;713.5;1;860
3460692;AM;2;1;0;0;0;0;;;;;;
1446713;CE;2;1;1;1;1;1;491.7;594.4;584;684.6;1;840
677237;MG;4;1;1;1;1;1;591.4;702;598.2;702.3;1;860
2518774;SC;2;1;0;0;0;0;;;;;;
3778328;SP;;;1;1;1;1;526.1;569.8;498.3;493.3;1;720
805245;AL;;;1;1;1;1;465.8;392.3;458.3;494.3;1;600
4110983;PA;2;1;1;1;1;1;371.1;349;381.4;380;1;640
210198;MG;;;0;0;0;0;;;;;;
2387332;RJ;2;1;1;1;1;1;465.3;591.6;593;550.5;1;780
979843;CE;2;1;1;1;1;1;432.8;507.4;505.3;517.8;4;0
2207965;PE;;;1;1;1;1;522.8;583.1;562.9;417;1;620
2262072;RN;1;1;1;1;1;1;579.4;616.1;612.8;673.5;1;760
2359367;PR;;;1;1;1;1;686;671.2;671.6;822.9;1;960
1789866;RS;;;1;1;1;1;403.1;432.6;466.2;401.1;1;640
3953866;PR;;;0;0;0;0;;;;;;
3794317;RS;;;1;1;1;1;474.8;423.2;429.4;480.5;1;500
2722308;RS;2;1;1;1;1;1;538.5;534.4;600;584.1;1;540
448295;MG;;;1;1;1;1;549.5;710.5;616;665.1;1;860
508876;CE;2;1;1;1;1;1;580;490.4;547;476.3;4;0
4112511;RS;;;1;1;1;1;483.1;382.9;426.6;497.4;1;360
2640963;TO;;;1;1;1;1;440.5;346.7;460.4;396.7;1;540
698124;SE;;;0;0;0;0;;;;;;
638292;SP;4;1;1;1;1;1;579;558.5;544;724.6;1;720
1004;CE;2;1;1;1;1;1;429.4;411.6;509.4;437;1;620
710348;PA;2;1;1;1;1;1;408;366.8;438.4;429.8;1;380
571127;PE;2;1;1;1;1;1;395.6;535.4;538.6;418.1;1;620
1859077;SP;;;1;1;1;1;727.3;696;627.4;865.5;1;920
497208;PA;;;0;0;0;0;;;;;;
2552407;MG;;;1;1;1;1;445.1;518.3;657.1;400.6;1;640
559139;SP;;;1;1;1;1;501.9;439.2;515.2;397.4;1;440
776749;PR;2;1;1;1;1;1;522.7;594.2;577.6;559.3;1;820
2686355;PA;;;1;1;1;1;474.2;515.3;564.1;444.2;1;780
1095738;BA;;;1;1;1;1;419.9;408.3;581.6;532.1;1;640
2341664;SP;;;1;1;1;1;453.6;451.5;552;602.5;1;600
373119;PE;2;1;1;1;1;1;453.2;412.7;441.5;396.5;1;640
3022939;BA;;;1;1;1;1;503.4;481.7;478;382.5;1;500
116567;MT;2;1;1;1;1;1;434;456.3;469.7;460.2;6;0
