CO_ENTIDADE;NO_MUNICIPIO;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;TP_SITUACAO_FUNCIONAMENTO;QT_MAT_BAS;QT_DOC_BAS;QT_TUR_BAS;QT_SALAS_UTILIZADAS;IN_INTERNET;IN_BIBLIOTECA;IN_AGUA_POTAVEL;IN_ENERGIA_INEXISTENTE
13012533;Alvarães;2;1;0;1;783;30;27;9;1;0;1;0
13012568;Alvarães;2;1;0;1;603;25;20;8;0;0;1;0
13012584;Alvarães;3;2;0;1;9;1;1;1;1;0;1;0
13012592;Alvarães;3;2;0;1;23;2;2;1;0;0;1;0
13012630;Alvarães;3;2;0;1;53;4;4;2;1;0;1;0
13012665;Alvarães;3;2;0;1;41;3;3;1;0;0;1;0
13012690;Alvarães;3;2;0;1;27;2;2;2;1;0;1;0
13012703;Alvarães;3;2;0;1;44;2;3;1;0;0;1;0
13012720;Alvarães;3;2;2;1;118;9;9;4;1;1;1;0
13012746;Alvarães;3;2;0;1;6;1;1;1;0;0;1;0
13012754;Alvarães;3;2;0;1;106;10;9;3;1;0;1;0
13012789;Alvarães;3;2;0;1;28;2;2;1;1;0;1;0
13012797;Alvarães;3;2;0;1;11;1;1;1;0;0;1;0
13012827;Alvarães;3;2;0;1;147;10;12;4;1;1;1;0
13012843;Alvarães;3;2;2;1;117;10;9;4;1;0;1;0
13012851;Alvarães;3;2;2;1;230;23;16;9;1;0;1;0
13012860;Alvarães;3;2;0;1;10;1;1;1;0;0;1;0
13012878;Alvarães;3;2;0;1;16;1;1;1;1;0;1;0
13012924;Alvarães;3;2;0;1;99;7;8;2;1;0;1;0
13012932;Alvarães;3;2;0;1;101;9;8;4;1;1;1;0
13012940;Alvarães;3;2;2;1;41;3;3;3;1;0;0;0
13012967;Alvarães;3;2;0;1;137;9;8;5;1;1;1;0
13012975;Alvarães;3;2;3;1;114;8;9;4;1;0;1;0
13012991;Alvarães;3;2;2;1;85;9;8;4;1;1;1;0
13013017;Alvarães;3;2;0;1;51;5;4;3;1;0;1;0
13013025;Alvarães;3;2;0;1;12;1;1;2;1;0;1;0
13013033;Alvarães;2;1;0;1;396;16;12;6;0;0;1;0
13013041;Alvarães;3;2;0;1;9;1;1;1;0;0;1;0
13057790;Alvarães;3;2;0;1;22;2;2;2;0;0;1;0
13058002;Alvarães;3;2;0;1;26;2;2;2;1;0;1;0
13066242;Alvarães;3;2;0;1;234;16;12;9;1;0;1;0
13067540;Alvarães;3;2;0;1;40;3;3;2;1;0;1;0
13069845;Alvarães;3;2;2;1;99;7;6;4;1;0;1;0
13069853;Alvarães;3;2;0;1;40;4;4;1;0;0;1;0
13069861;Alvarães;3;2;0;1;27;2;3;1;1;0;1;0
13069870;Alvarães;3;2;2;1;33;2;3;2;1;0;0;0
13069888;Alvarães;3;2;0;1;46;2;3;1;1;0;1;0
13069900;Alvarães;3;2;0;1;17;1;1;1;0;0;1;0
13069934;Alvarães;3;2;2;1;12;1;1;1;1;0;1;0
13069942;Alvarães;3;2;2;1;24;2;2;1;1;0;0;0
13069950;Alvarães;3;1;0;1;579;39;23;12;0;1;1;0
13072137;Alvarães;3;2;0;1;41;2;3;2;1;0;1;0
13076469;Alvarães;3;2;0;1;8;1;1;1;1;0;1;0
13076477;Alvarães;3;2;0;1;11;1;1;1;1;0;1;0
13076507;Alvarães;3;2;2;1;27;2;2;1;1;0;1;0
13087312;Alvarães;3;2;2;1;43;3;3;2;0;0;1;0
13088262;Alvarães;3;2;0;1;7;1;1;1;1;0;0;0
13088270;Alvarães;3;2;2;1;65;4;4;3;1;0;1;0
13093908;Alvarães;2;1;0;1;123;21;4;8;1;1;1;0
13096753;Alvarães;3;1;0;1;439;25;16;11;1;1;1;0
13096788;Alvarães;3;2;0;1;21;2;2;1;1;0;1;0
13096796;Alvarães;3;2;0;1;8;1;1;1;0;0;1;0
13097458;Alvarães;3;2;0;1;24;1;2;1;1;0;1;0
13099264;Alvarães;3;2;0;1;43;3;3;2;0;0;1;0
13103610;Alvarães;2;2;0;1;89;34;5;5;1;0;1;0
13104462;Alvarães;3;2;0;1;17;2;2;1;0;0;1;0
13104470;Alvarães;3;2;0;1;18;2;3;1;0;0;1;0
13104594;Alvarães;3;2;0;1;49;3;4;1;0;0;1;0
13219200;Alvarães;2;2;0;1;110;37;8;8;1;0;1;0
13264249;Alvarães;3;2;0;1;23;2;3;1;0;0;1;0
13307363;Alvarães;3;2;0;1;8;1;1;1;0;0;1;0
13312219;Alvarães;3;1;0;1;711;30;32;17;1;0;1;0
13004298;Amaturá;3;2;0;1;263;10;12;7;1;0;1;0
13004301;Amaturá;2;1;;2;;;;;;;;
13004310;Amaturá;3;2;0;1;159;7;8;5;1;0;1;0
13004425;Amaturá;3;2;2;1;135;7;9;4;1;0;1;0
13004468;Amaturá;3;2;2;1;352;21;19;8;1;0;1;0
13004484;Amaturá;3;2;2;1;93;5;6;3;1;0;1;0
13004549;Amaturá;3;2;0;1;79;5;5;4;1;0;1;0
13061011;Amaturá;3;2;2;1;24;2;2;2;1;0;1;0
13061038;Amaturá;3;2;2;1;119;5;6;3;1;0;1;0
13061070;Amaturá;3;2;2;1;144;6;7;4;1;0;1;0
13061100;Amaturá;3;2;0;1;12;1;1;1;0;0;1;1
13061127;Amaturá;3;1;0;1;368;21;23;12;1;1;1;0
13067729;Amaturá;3;2;;2;;;;;;;;
13079492;Amaturá;3;2;2;1;18;1;1;1;1;0;1;0
13079506;Amaturá;3;2;2;1;59;3;4;2;1;0;1;0
13083287;Amaturá;3;2;0;1;14;1;1;2;0;0;1;0
13083309;Amaturá;2;1;0;1;792;39;31;13;1;1;1;0
13091042;Amaturá;3;2;2;1;14;1;1;1;1;0;1;0
13097105;Amaturá;3;1;0;1;232;10;12;6;0;1;1;0
13097733;Amaturá;2;1;0;1;66;17;2;5;1;0;1;0
13099361;Amaturá;2;2;0;1;112;38;9;9;1;0;1;0
13100076;Amaturá;3;2;2;1;191;11;10;5;1;0;1;0
13102400;Amaturá;3;1;;2;;;;;;;;
13102770;Amaturá;3;2;2;1;17;1;1;1;1;0;1;0
13103431;Amaturá;2;2;2;1;303;38;15;6;1;0;1;0
13103601;Amaturá;3;2;2;1;91;4;5;4;0;0;1;0
13104764;Amaturá;3;2;2;1;22;2;1;1;0;0;1;1
13109960;Amaturá;3;2;2;1;14;2;2;3;0;0;1;1
13109979;Amaturá;3;1;0;1;420;30;24;16;0;1;1;0
13145207;Amaturá;3;2;0;1;43;2;2;2;1;0;1;0
13238213;Amaturá;2;2;2;1;39;34;5;5;1;0;1;0
13014269;Anamã;3;2;0;1;49;5;4;3;1;0;1;0
13014293;Anamã;2;2;0;1;110;37;9;4;1;1;1;0
13014307;Anamã;2;1;0;1;236;11;9;6;1;1;1;0
13014358;Anamã;3;2;0;1;63;6;5;3;1;0;1;0
13014390;Anamã;3;2;0;1;91;6;6;2;1;0;1;0
13014447;Anamã;3;2;2;1;21;1;1;1;0;1;1;0
13014480;Anamã;3;2;0;1;38;5;5;4;1;0;1;0
13014498;Anamã;3;2;2;1;69;5;4;2;0;0;1;0
13014528;Anamã;3;2;0;1;17;1;1;3;0;0;1;0
13014587;Anamã;3;2;0;1;34;2;2;2;0;0;1;0
13014668;Anamã;3;2;0;1;54;6;5;4;1;0;1;0
13014684;Anamã;3;2;2;1;77;5;4;4;1;0;1;0
13014781;Anamã;2;2;0;1;124;40;9;9;1;1;1;0
