REGIAO;UF;MUNICIPIO;PRODUTO;DATA_COLETA;VALOR_VENDA;BANDEIRA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,07;SETTA DISTRIBUIDORA
NE;PE;RECIFE;ETANOL;01/01/2024;3,53;SETTA DISTRIBUIDORA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,09;VIBRA
NE;PE;RECIFE;ETANOL;01/01/2024;3,59;VIBRA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,09;IPIRANGA
NE;PE;RECIFE;ETANOL;01/01/2024;4,19;IPIRANGA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,09;VIBRA
NE;PE;RECIFE;ETANOL;01/01/2024;3,99;VIBRA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,09;VIBRA
NE;PE;RECIFE;ETANOL;01/01/2024;3,59;VIBRA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,07;VIBRA
NE;PE;RECIFE;ETANOL;01/01/2024;3,59;VIBRA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,07;DISLUB
NE;PE;RECIFE;ETANOL;01/01/2024;3,53;DISLUB
NE;PE;RECIFE;GASOLINA;01/01/2024;5,09;RAIZEN
NE;PE;RECIFE;ETANOL;01/01/2024;3,59;RAIZEN
NE;PE;RECIFE;GASOLINA;01/01/2024;5,08;BRANCA
NE;PE;RECIFE;ETANOL;01/01/2024;3,57;BRANCA
NE;PE;RECIFE;ETANOL;01/01/2024;3,65;VIBRA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,19;VIBRA
NE;PE;RECIFE;ETANOL;01/01/2024;3,69;VIBRA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,07;BRANCA
NE;PE;RECIFE;ETANOL;01/01/2024;3,53;BRANCA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,09;IPIRANGA
NE;PE;RECIFE;ETANOL;01/01/2024;3,58;IPIRANGA
NE;PE;RECIFE;GASOLINA;01/01/2024;5,19;VIBRA
NE;PE;RECIFE;ETANOL;01/01/2024;3,69;VIBRA
NE;PI;TERESINA;GASOLINA;01/01/2024;5,19;VIBRA
NE;PI;TERESINA;ETANOL;01/01/2024;3,89;VIBRA
SE;SP;SAO PAULO;GASOLINA;01/01/2024;7,39;VIBRA
SE;SP;SAO PAULO;ETANOL;01/01/2024;4,99;VIBRA
SE;SP;SAO PAULO;GASOLINA;01/01/2024;4,88;BRANCA
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,93;BRANCA
SE;SP;SAO PAULO;GASOLINA;01/01/2024;4,99;BRANCA
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,99;BRANCA
SE;SP;SAO PAULO;GASOLINA;01/01/2024;5,24;IPIRANGA
SE;SP;SAO PAULO;ETANOL;01/01/2024;3,14;IPIRANGA
SE;SP;SAO PAULO;GASOLINA;01/01/2024;5,79;RAIZEN
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,99;RAIZEN
SE;SP;SAO PAULO;GASOLINA;01/01/2024;4,97;BRANCA
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,97;BRANCA
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,99;RAIZEN
SE;SP;SAO PAULO;GASOLINA;01/01/2024;5,14;RAIZEN
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,98;RAIZEN
SE;SP;SAO PAULO;GASOLINA;01/01/2024;5,46;RAIZEN
SE;SP;SAO PAULO;ETANOL;01/01/2024;3,26;RAIZEN
SE;SP;SAO PAULO;GASOLINA;01/01/2024;4,99;IPIRANGA
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,99;IPIRANGA
SE;SP;SAO PAULO;GASOLINA;01/01/2024;5,09;RAIZEN
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,97;RAIZEN
SE;SP;SAO PAULO;GASOLINA;01/01/2024;5,15;IPIRANGA
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,99;IPIRANGA
SE;SP;SAO PAULO;GASOLINA;01/01/2024;5,09;RAIZEN
SE;SP;SAO PAULO;ETANOL;01/01/2024;2,99;RAIZEN
NE;AL;MACEIO;GASOLINA;01/01/2024;5,39;VIBRA
NE;AL;MACEIO;ETANOL;01/01/2024;3,59;VIBRA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,39;IPIRANGA
NE;AL;MACEIO;ETANOL;01/01/2024;3,49;IPIRANGA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,39;VIBRA
NE;AL;MACEIO;ETANOL;01/01/2024;3,59;VIBRA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,39;VIBRA
NE;AL;MACEIO;ETANOL;01/01/2024;3,59;VIBRA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,39;VIBRA
NE;AL;MACEIO;ETANOL;01/01/2024;3,59;VIBRA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,49;VIBRA
NE;AL;MACEIO;ETANOL;01/01/2024;3,59;VIBRA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,49;VIBRA
NE;AL;MACEIO;ETANOL;01/01/2024;3,99;VIBRA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,39;RAIZEN
NE;AL;MACEIO;ETANOL;01/01/2024;3,49;RAIZEN
NE;AL;MACEIO;GASOLINA;01/01/2024;5,39;BRANCA
NE;AL;MACEIO;ETANOL;01/01/2024;3,49;BRANCA
NE;AL;MACEIO;GASOLINA;01/01/2024;5,49;RAIZEN
NE;AL;MACEIO;ETANOL;01/01/2024;3,79;RAIZEN
NE;AL;MACEIO;GASOLINA;01/01/2024;5,49;VIBRA
NE;AL;MACEIO;ETANOL;01/01/2024;3,79;VIBRA
SE;MG;BELO HORIZONTE;GASOLINA;01/01/2024;5,09;RAIZEN
SE;MG;BELO HORIZONTE;ETANOL;01/01/2024;3,19;RAIZEN
SE;MG;BELO HORIZONTE;GASOLINA;01/01/2024;5,14;RAIZEN
SE;MG;BELO HORIZONTE;ETANOL;01/01/2024;3,24;RAIZEN
SE;MG;BELO HORIZONTE;GASOLINA;01/01/2024;5,49;VIBRA
SE;MG;BELO HORIZONTE;ETANOL;01/01/2024;3,59;VIBRA
SE;MG;BELO HORIZONTE;GASOLINA;01/01/2024;5,19;IPIRANGA
